standard_care,hpv_vaccination
599289349.9600488,1076669641.9889345
580712563.6937243,1043363765.2863551
526873605.9772875,1129041731.985083
564774682.9478132,1054069158.3246553
598450655.3871877,1026361988.681431
613832993.9538857,1044146790.5098222
603793721.2103411,1071762971.6514863
571511228.6533897,1116494753.1623337
613209843.9128456,1095245118.4860342
608844689.0261767,1104792109.5516143
583894609.0732005,1041141754.3061165
551219277.5484015,1060102562.4893597
591848725.3495102,1094078159.1989238
595291348.9780052,1097976927.7790422
618367379.9421874,1073438375.4429827
599830185.4099407,1094041445.0545735
615034791.8587223,1108003000.540641
586773785.3894109,1101848747.4780486
625685116.9655688,1113298798.1700437
